"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"00813","ES-PRPCB-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Colorful 3.3 gr (Pc(s))","2022-06-20 09:09:32","Confirmed","COPACKING","5","Confirmed"
"01167","ES-PRPFD-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Frosted 3.3 gr (Pc(s))","2022-06-05 19:52:52","Confirmed","COPACKING","5","Confirmed"
"00811","ES-PRPGI-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Gelato 3.3 gr (Pc(s))","2022-06-20 09:09:32","Confirmed","COPACKING","5","Confirmed"
"00814","ES-PRPNS-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Nude 3.3 gr (Pc(s))","2022-06-20 09:09:32","Confirmed","COPACKING","5","Confirmed"
"01165","ES-PRPPH-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Posh 3.3 gr (Pc(s))","2022-06-20 09:09:33","Confirmed","COPACKING","5","Confirmed"
"00809","ES-PRPPG-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Purple 3.3 gr (Pc(s))","2022-06-05 19:53:10","Confirmed","COPACKING","5","Confirmed"
"00812","ES-PRPRP-EM3.3GR","Emina Pop Rouge Pressed Eye Shadow Romantic 3.3 gr (Pc(s))","2022-06-20 09:09:33","Confirmed","COPACKING","5","Confirmed"
"04926","L-NLCALE1REG-EM","Emina Poppin' Matte The 90's Edition 06 Roller Skate 4.5 g","2022-07-11 03:30:02","Confirmed","STD","3","Confirmed"
"03840","L-NLCALE1-EM","Emina Poppin' Matte The 90's Edition 06 Roller Skate 4.5 g","2022-06-20 09:09:15","Confirmed","STD","6","Confirmed"
"03841","L-NLCBLE2-EM","Emina Poppin' Matte The 90's Edition 07 Rubic Cubic 4.5 g","2022-06-20 09:09:16","Confirmed","STD","6","Confirmed"
"04927","L-NLCCLE3REG-EM","Emina Poppin' Matte The 90's Edition 08 Lovely Tamago 4.5 g","2022-07-11 03:30:02","Confirmed","STD","3","Confirmed"
"03842","L-NLCCLE3-EM","Emina Poppin' Matte The 90's Edition 08 Lovely Tamagochan 4.5 g","2022-06-20 09:09:16","Confirmed","STD","6","Confirmed"
"03843","L-NLCDLE4-EM","Emina Poppin' Matte The 90's Edition 09 Tossin' Tazos 4.5 g","2022-06-20 09:09:20","Confirmed","STD","6","Confirmed"
"03844","L-NLCELE5-EM","Emina Poppin' Matte The 90's Edition 10 Spin It Yo-yo 4.5 g","2022-06-20 09:09:20","Confirmed","STD","6","Confirmed"
"04009","L-NLCXCA-EM","Emina Poppin' Matte X Chatime 11 Chatime Milk Tea","2022-07-08 04:35:16","Confirmed","STD","5","Confirmed"
"04010","L-NLCXCB-EM","Emina Poppin' Matte X Chatime 12 Hazelnut Chocolate Milk Tea","2022-07-08 10:05:05","Confirmed","STD","5","Confirmed"
"04011","L-NLCXCC-EM","Emina Poppin' Matte X Chatime 13 Brown Sugar Milk Tea","2022-07-08 04:35:01","Confirmed","STD","5","Confirmed"
"03102","L-NLCC-EM","Emina Poppin’ Matte 01 Lowkey 4.5 g","2022-06-20 09:08:52","Confirmed","STD","5","Confirmed"
"03103","L-NLCB-EM","Emina Poppin’ Matte 02 To Be Honest 4.5 g","2022-06-20 09:08:52","Confirmed","STD","5","Confirmed"
"03104","L-NLCD-EM","Emina Poppin’ Matte 03 Game On 4.5 g","2022-06-20 09:08:53","Confirmed","STD","5","Confirmed"
"03105","L-NLCA-EM","Emina Poppin’ Matte 04 Snatched 4.5 g","2022-06-20 09:08:54","Confirmed","STD","5","Confirmed"
"03106","L-NLCE-EM","Emina Poppin’ Matte 05 Easy Peasy 4.5 g","2022-06-20 09:08:55","Confirmed","STD","5","Confirmed"
"01735","PRM-PR-EM20ML","Emina Pore Ranger 20 ml (Pc(s))","2022-06-20 09:08:56","Confirmed","STD","4","Confirmed"
"01205","P-QBK01-EM","Emina Queenbee Beauty Kit 01 (Pc(s))","2022-06-05 19:54:48","Confirmed","","3","Confirmed"
"01206","P-QBK02-EM","Emina Queenbee Beauty Kit 02 (Pc(s))","2022-06-05 19:54:52","Confirmed","","3","Confirmed"
"01207","P-QBK03-EM","Emina Queenbee Beauty Kit 03 (Pc(s))","2022-06-05 19:54:56","Confirmed","","3","Confirmed"
"01208","P-QBK04-EM","Emina Queenbee Beauty Kit 04 (Pc(s))","2022-06-05 19:55:00","Confirmed","","3","Confirmed"
"01961","CUS-RBWM01-EM","Emina Refill Bare With Me Mineral Cushion 01 Light 15 g","2022-06-05 19:55:05","Confirmed","OEMNDC","2","Confirmed"
"01962","CUS-RBWM02-EM","Emina Refill Bare With Me Mineral Cushion 02 Natural 15 g","2022-06-05 19:55:09","Confirmed","OEMNDC","2","Confirmed"
"01963","CUS-RBWM03-EM","Emina Refill Bare With Me Mineral Cushion 03 Caramel 15 g","2022-06-05 19:55:13","Confirmed","OEMNDC","2","Confirmed"
"01964","CUS-RBWM04-EM","Emina Refill Bare With Me Mineral Cushion 04 Mocca 15 g","2022-06-05 19:55:19","Confirmed","OEMNDC","2","Confirmed"
"01923","B-SFLP-EM8G","Emina Sebum Fighter Loose Powder 8 g","2022-06-30 06:03:51","Confirmed","STD","3","Confirmed"
"00823","SG-DA-EM100ML","Emina Shower Gel Daisy 100 ml (Pc(s))","2022-06-05 19:55:31","Confirmed","STD","5","Confirmed"
"02837","FW-SBRDBL-EM","Emina Skin Buddy Bubble Up Face Wash 60 ml","2022-06-20 09:09:03","Confirmed","STD","5","Confirmed"
"02836","FW-SBRDBR-EM","Emina Skin Buddy Dot Burst Face Wash 60 ml","2022-06-20 09:09:04","Confirmed","STD","5","Confirmed"
"02840","FT-SBFT-EM","Emina Skin Buddy Face Toner 100 ml","2022-06-20 09:09:05","Confirmed","STD","5","Confirmed"
"03208","FT-SBFTN2-EM","Emina Skin Buddy Face Toner 50 ml","2022-06-20 09:09:05","Confirmed","STD","5","Confirmed"
"02838","REM-SBRMW-EM","Emina Skin Buddy Micellar Water 100 ml","2022-06-20 09:09:07","Confirmed","STD","5","Confirmed"
"02839","REM-SBRMWN2-EM","Emina Skin Buddy Micellar Water 50 ml","2022-06-20 09:09:07","Confirmed","STD","5","Confirmed"
"04251","SS-SBSP30N2-EM","Emina Skin Buddy Sun Protection SPF 30 PA+++ 25 ml","2022-06-05 19:56:24","Confirmed","","0","Draft"
"02835","SS-SBSP30-EM","Emina Skin Buddy Sun Protection SPF 30 PA+++ 60 ml","2022-06-20 09:09:08","Confirmed","STD","5","Confirmed"
"01049","KERT-ESOCA-EM","Emina Sleeve On Creamblush Alice, AC210, 2,6x2,2x9,7cm, 4/0 (Pc(s))","2022-07-11 03:30:02","Confirmed","","3","Draft"
"01052","KERT-ESOCCC-EM","Emina Sleeve On Creamblush Chesire, AC210, 2,6x2,2x9,7cm, 4/0 (Pc(s))","2022-07-11 03:30:03","Confirmed","","3","Draft"
"01042","LB-SCJ-EM3.7GR","Emina Smoochies Lip Balm Cucumber Juice 3.7 gr (Pc(s))","2022-06-20 09:09:27","Confirmed","STD","4","Confirmed"
"01043","LB-SLN-EM3.7GR","Emina Smoochies Lip Balm Lemonade 3.7 gr (Pc(s))","2022-06-20 09:09:27","Confirmed","STD","3","Confirmed"
"01212","L-SM01E-EM2.3G","Emina Soulmatte Lipstick 01 Enchantress 2.3 g (Pc(s))","2022-06-05 19:56:54","Confirmed","STD","5","Confirmed"
"01213","L-SM02U-EM2.3G","Emina Soulmatte Lipstick 02 Unicorn 2.3 g (Pc(s))","2022-06-05 19:56:59","Confirmed","STD","5","Confirmed"
"01214","L-SM03F-EM2.3G","Emina Soulmatte Lipstick 03 Fairy Fantasy 2.3 g (Pc(s))","2022-06-05 19:57:05","Confirmed","STD","5","Confirmed"
"01215","L-SM04L-EM2.3G","Emina Soulmatte Lipstick 04 Love Spell 2.3 g (Pc(s))","2022-06-05 19:57:09","Confirmed","STD","5","Confirmed"
"01216","L-SM05F-EM2.3G","Emina Soulmatte Lipstick 05 Feathers 2.3 g (Pc(s))","2022-06-05 19:57:14","Confirmed","STD","5","Confirmed"
"01217","L-SM06R-EM2.3G","Emina Soulmatte Lipstick 06 Red Queen 2.3 g (Pc(s))","2022-06-05 19:57:19","Confirmed","STD","5","Confirmed"
"01662","L-SM07G-EM2.3G","Emina Soulmatte Lipstick 07 Gummy 2.3 g","2022-06-05 19:57:27","Confirmed","STD","5","Confirmed"
"01663","L-SM08G-EM2.3G","Emina Soulmatte Lipstick 08 Gemstone 2.3 g","2022-06-05 19:57:35","Confirmed","STD","5","Confirmed"
"01664","L-SM09H-EM2.3G","Emina Soulmatte Lipstick 09 Heather 2.3 g","2022-06-05 19:57:44","Confirmed","STD","5","Confirmed"
"01665","L-SM10B-EM2.3G","Emina Soulmatte Lipstick 10 Bloody Mary 2.3 g","2022-06-05 19:57:52","Confirmed","STD","5","Confirmed"
"01666","L-SM11B-EM2.3G","Emina Soulmatte Lipstick 11 Buttercup 2.3 g","2022-06-05 19:58:03","Confirmed","STD","5","Confirmed"
"01667","L-SM12C-EM2.3G","Emina Soulmatte Lipstick 12 Choco Pie 2.3 g","2022-06-05 19:58:13","Confirmed","STD","5","Confirmed"
"01727","P-STA-EM","Emina Special Treats A","2022-06-05 19:58:17","Confirmed","","3","Confirmed"
"01728","P-STB-EM","Emina Special Treats B","2022-06-05 19:58:22","Confirmed","","3","Confirmed"
"02905","EB-SMUEMB-EM","Emina Squeeze Me Up Browcara Ashy 8 g","2022-06-20 09:09:11","Confirmed","STD","5","Confirmed"
"02907","EB-SMUEMC-EM","Emina Squeeze Me Up Browcara Clear 8 g","2022-06-20 09:09:12","Confirmed","STD","5","Confirmed"
"02904","EB-SMUEMA-EM","Emina Squeeze Me Up Browcara Woody 8 g","2022-06-20 09:09:13","Confirmed","STD","5","Confirmed"
"02917","FA-SMUJGN-EM","Emina Squeeze Me Up Jelly Glow Nude 8 g","2022-06-05 18:50:33","Confirmed","STD","5","Confirmed"
"02915","L-SMULGA-EM","Emina Squeeze Me Up Lip Glass 01 Surf n’ Slide 6.5 g","2022-06-20 09:09:28","Confirmed","STD","5","Confirmed"
"02916","L-SMULGB-EM","Emina Squeeze Me Up Lip Glass 02 Stargaze 6.5 g","2022-06-20 09:09:28","Confirmed","STD","5","Confirmed"
"02911","L-SMULMA-EM","Emina Squeeze Me Up Lip Matte 01 Have a Picnic 6.5 g","2022-06-20 09:09:13","Confirmed","STD","5","Confirmed"
"02912","L-SMULMB-EM","Emina Squeeze Me Up Lip Matte 02 Bake a Cookie 6.5 g","2022-06-20 09:09:28","Confirmed","STD","5","Confirmed"
"02913","L-SMULMC-EM","Emina Squeeze Me Up Lip Matte 03 City Cycling 6.5 g","2022-06-20 09:09:29","Confirmed","STD","5","Confirmed"
"02914","L-SMULMD-EM","Emina Squeeze Me Up Lip Matte 04 Lil Dancing 6.5 g","2022-06-20 09:09:15","Confirmed","STD","5","Confirmed"
"02910","CON-SMULCC-EM","Emina Squeeze Me Up Liquid Concealer Caramel 8 g","2022-06-20 09:09:29","Confirmed","STD","5","Confirmed"
"02908","CON-SMULCA-EM","Emina Squeeze Me Up Liquid Concealer Light 8 g","2022-06-20 09:09:30","Confirmed","STD","5","Confirmed"
"02909","CON-SMULCB-EM","Emina Squeeze Me Up Liquid Concealer Natural 8 g","2022-06-20 09:09:30","Confirmed","STD","5","Confirmed"
"02906","MASK-SMU-EM","Emina Squeeze Me Up Mascara 8 g","2022-06-20 09:09:15","Confirmed","STD","5","Confirmed"
"00822","MASK-SLA-EM5GR","Emina Star Lash Aqua Mascara 5 gr (Pc(s))","2022-06-20 09:09:30","Confirmed","STD","5","Confirmed"
"00962","FS-SR-EM60ML","Emina Sugar Rush Face Scrub 60 ml (Pc(s))","2022-06-05 20:00:25","Confirmed","STD","5","Confirmed"
"00957","LB-SR-EM4.2GR","Emina Sugar Rush Lip Scrub 4.2 gr (Pc(s))","2022-06-20 09:08:58","Confirmed","STD","5","Confirmed"
"00958","L-SR01PV-EM3.8GR","Emina Sugar Rush Lipstick 01 Pink Velvet 3.8 gr (Pc(s))","2022-06-20 09:09:48","Confirmed","STD","5","Confirmed"
"01596","L-SR02BB-EM3.8GR","Emina Sugar Rush Lipstick 02 Butterball 3.8 gr (Pc(s))","2022-06-20 09:09:48","Confirmed","STD","5","Confirmed"
"00959","L-SR02CD-EM3.8GR","Emina Sugar Rush Lipstick 02 Cookie Dough 3.8 gr (Pc(s))","2022-06-05 20:00:42","Confirmed","STD","5","Confirmed"
"00960","L-SR03CB-EM3.8GR","Emina Sugar Rush Lipstick 03 Cherry Bomb 3.8 gr (Pc(s))","2022-06-20 09:09:49","Confirmed","STD","5","Confirmed"
"00961","L-SR04MM-EM3.8GR","Emina Sugar Rush Lipstick 04 Maroon Macaroon 3.8 gr (Pc(s))","2022-06-20 09:09:49","Confirmed","STD","5","Confirmed"
"01597","L-SR05PC-EM3.8GR","Emina Sugar Rush Lipstick 05 Pie Crust 3.8 gr (Pc(s))","2022-06-20 09:09:51","Confirmed","STD","5","Confirmed"
"01598","L-SR06PP-EM3.8GR","Emina Sugar Rush Lipstick 06 Peach Pancake 3.8 gr (Pc(s))","2022-06-20 09:09:51","Confirmed","STD","5","Confirmed"
"01599","L-SR07RS-EM3.8GR","Emina Sugar Rush Lipstick 07 Raspberry Sorbet 3.8 gr (Pc(s))","2022-06-20 09:09:52","Confirmed","STD","5","Confirmed"
"01600","L-SR08PC-EM3.8GR","Emina Sugar Rush Lipstick 08 Plum Crumble 3.8 gr (Pc(s))","2022-06-20 09:09:53","Confirmed","STD","5","Confirmed"
"01601","L-SR09CS-EM3.8GR","Emina Sugar Rush Lipstick 09 Creamsicle 3.8 gr (Pc(s))","2022-06-20 09:09:53","Confirmed","STD","5","Confirmed"
"01602","L-SR10CC-EM3.8GR","Emina Sugar Rush Lipstick 10 Carrot Cake 3.8 gr (Pc(s))","2022-06-20 09:09:54","Confirmed","STD","5","Confirmed"
"01603","L-SR11BS-EM3.8GR","Emina Sugar Rush Lipstick 11 Berry Shake 3.8 gr (Pc(s))","2022-06-20 09:09:55","Confirmed","STD","5","Confirmed"
"01604","L-SR12BG-EM3.8GR","Emina Sugar Rush Lipstick 12 Bubble Gum 3.8 gr (Pc(s))","2022-06-20 09:09:55","Confirmed","STD","5","Confirmed"
"02210","L-SR13CC-EM","Emina Sugar Rush Lipstick 13 Choco Cherry 3.8 g","2022-06-20 09:09:56","Confirmed","STD","5","Confirmed"
"02211","L-SR14MB-EM","Emina Sugar Rush Lipstick 14 Molten Brownie 3.8 g","2022-06-20 09:09:56","Confirmed","STD","5","Confirmed"
"02212","L-SR15MC-EM","Emina Sugar Rush Lipstick 15 Maple Crunch 3.8 g","2022-06-20 09:09:57","Confirmed","STD","5","Confirmed"
"02213","L-SR16PD-EM","Emina Sugar Rush Lipstick 16 Peach Drops 3.8 g","2022-06-20 09:09:57","Confirmed","STD","5","Confirmed"
"02214","L-SR17AF-EM","Emina Sugar Rush Lipstick 17 Apple Fondue 3.8 g","2022-06-20 09:09:57","Confirmed","STD","5","Confirmed"
"02875","SS-SBAT30-EM","Emina Sun Battle SPF 30 PA+++ 60 ml","2022-06-20 09:09:08","Confirmed","STD","5","Confirmed"
"02874","SS-SB45-EM","Emina Sun Battle SPF 45 PA+++ 30 ml","2022-06-29 14:24:17","Confirmed","STD","5","Confirmed"
"04250","SS-SB45N2-EM","Emina Sun Battle Sun Protection SPF 45 PA+++ 8 ml","2022-06-14 08:33:26","Confirmed","","0","Draft"
"04800","SS-SBAS-EM","Emina Sun Battle Sunscreen for Acne Skin 30 ml","2022-07-11 03:30:03","Confirmed","STD","5","Confirmed"
"00913","M-SP-EM60ML","Emina Sun Protection SPF 30 60 ml (Pc(s))","2022-06-05 20:03:14","Confirmed","STD","4","Confirmed"
"03209","EM-0038-01","Emina Sunscreen SPF 50 PA+++ Anti Pollution","2022-06-05 20:03:20","Confirmed","","3","Confirmed"
"00972","BUT-SB-EM100ML","Emina Superberry Body Pudding 100 ml (Pc(s))","2022-06-05 20:03:25","Confirmed","","3","Confirmed"
"01715","P-SBA-EM","Emina Surprise Box A","2022-06-05 20:03:29","Confirmed","","3","Confirmed"
"01716","P-SBB-EM","Emina Surprise Box B","2022-06-05 20:03:32","Confirmed","","3","Confirmed"
