"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"BOTP-PISTS240-IX","BOTP-PISTS240-IX","Botol Print Incredible Strenght Shampoo 240 ml IX","2022-06-05 13:07:17","Confirmed","","5","Confirmed"
"BOTP-PISTT240-IX","BOTP-PISTT240-IX","Botol Print Incredible Strenght Tonic 240 ml IX","2022-06-05 13:07:29","Confirmed","","5","Confirmed"
"BOTP-MUR100-W","BOTP-MUR100-W","Botol Print Make Up Remover Wardah 100 ML","2022-06-05 13:09:24","Confirmed","","5","Confirmed"
"BOTP-NLREV1450-P","BOTP-NLREV1450-P","Botol Print Neutraliuzer Lotion Rev-1 450 ml Putri","2022-06-05 13:11:04","Confirmed","","5","Confirmed"
"BOTP-DPPN_L200-P","BOTP-DPPN_L200-P","Botol Print Platinum Deep Moisturizer Putri 200 ML","2022-06-05 13:11:40","Confirmed","","5","Confirmed"
"BOTP-PBCAS750-IX","BOTP-PBCAS750-IX","Botol Print Pro Beauty Curl Addict Shampoo 750 ml IX","2022-06-05 13:12:03","Confirmed","","5","Confirmed"
"BOTP-PCLBS750-IX","BOTP-PCLBS750-IX","Botol Print Pro Colorlock Booster Shampoo 750 ml IX","2022-06-05 13:12:26","Confirmed","","5","Confirmed"
"BOTP-PTCC750-IX","BOTP-PTCC750-IX","Botol Print Pro Timeless Care Conditioner 750 ml IX","2022-06-05 13:13:21","Confirmed","","5","Confirmed"
"BOTP-PTCS750-IX","BOTP-PTCS750-IX","Botol Print Pro Timeless Care Shampoo 750 ml IX","2022-06-05 13:13:32","Confirmed","","5","Confirmed"
"BOTP-PCHCA450RE-P","BOTP-PCHCA450RE-P","Botol Print Pure Clean Conditioner Apple 450 ml rev-1 Putri","2022-06-05 13:13:42","Confirmed","","5","Confirmed"
"BOTP-PCHCAREV12-P","BOTP-PCHCAREV12-P","Botol Print Pure Clean Conditioner Apple Rev-1 Putri 200 ML","2022-06-05 13:13:53","Confirmed","","5","Confirmed"
"BOTP-PCHCFREV14-P","BOTP-PCHCFREV14-P","Botol Print Pure Clean Hair Conditioner Floral 450 ml Rev-1","2022-06-05 13:14:05","Confirmed","","5","Confirmed"
"BOTP-PCHCFREV12-P","BOTP-PCHCFREV12-P","Botol Print Pure Clean Hair Conditioner Floral Rev-1 Putri","2022-06-05 13:14:16","Confirmed","","5","Confirmed"
"BOTP-PCSSLR1200-P","BOTP-PCSSLR1200-P","Botol Print Pure Clean Sh SPA Lavender Rev-1 200 ml Putri","2022-06-05 13:14:26","Confirmed","","5","Confirmed"
"BOTP-PCSHA450RE-P","BOTP-PCSHA450RE-P","Botol Print Pure Clean Shampoo Apple 450 ml rev-1 Putri","2022-06-05 13:14:38","Confirmed","","5","Confirmed"
"BOTP-PCSHAREV12-P","BOTP-PCSHAREV12-P","Botol Print Pure Clean Shampoo Apple Rev-1 200 ml Putri","2022-06-05 13:14:48","Confirmed","","5","Confirmed"
"BOTP-PCSHLE450R-P","BOTP-PCSHLE450R-P","Botol Print Pure Clean Shampoo Lemon 450 ml Rev-1 Putri","2022-06-05 13:14:59","Confirmed","","5","Confirmed"
"BOTP-SSPALEREV1-P","BOTP-SSPALEREV1-P","Botol Print Pure clean Shampo SPA Lemon Rev-1 200 ml Putri","2022-06-05 13:15:10","Confirmed","","5","Confirmed"
"BOTP-PCSHLEREV1-P","BOTP-PCSHLEREV1-P","Botol Print Pure clean Shampoo Lemon Rev-1  200 ml Putri","2022-06-05 13:15:21","Confirmed","","5","Confirmed"
"BOTP-PCSSLREV14-P","BOTP-PCSSLREV14-P","Botol Print Pure clean shampo spa lemon  Rev-1 450ml Putri","2022-06-05 13:15:32","Confirmed","","5","Confirmed"
