"id","snfg_id/display_name","name","product_id/display_name","fro_sediaan","scheduled_start","scheduled_finished","picking_type_id/display_name","mo_id/display_name","state","fro_stream_line"
"__export__.mfg_snfg_line_2307_44cf966b","L-TLTC-OMG/H0001","MO-L-LTC-BULK/H0002","[L-LTC-BULK] OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach","L","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001087","Confirmed","A"
"__export__.mfg_snfg_line_2309_eedfa9ca","L-TLTD-OMG/H0001","MO-L-LTD-BULK/H0002","[L-LTD-BULK] OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum","L","2022-06-07","2022-06-13","Jatake 4: JTK 4 - Olah","VCI#MO/220001086","Confirmed","A"
"__export__.mfg_snfg_line_2313_28f2ded2","FT-FT-OMG/H0022","FT-FT-OMG/H0022","[80028] OMG OH MY GLOW Peach Glowing Toner 100 ml","L","2022-06-11","2022-06-17","Jatake 4: JTK 4 - Kemas","VCI#MO/220001036","Confirmed","C"
"__export__.mfg_snfg_line_2352_11dcb48b","L-MLCA-OMG/H0021","MO-L-MLCA-BULK/H0021","[L-MLCA-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001069","Confirmed",""
"__export__.mfg_snfg_line_2353_3ef7156b","L-MLCD-OMG/H0022","MO-L-MLCD-BULK/H0023","[L-MLCD-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset","S","2022-06-06","2022-06-10","Jatake 4: JTK 4 - Olah","VCI#MO/220001067","Confirmed","A"
"__export__.mfg_snfg_line_2360_44f1c5fd","L-MLCA-OMG/H0022","MO-L-MLCA-BULK/H0022","[L-MLCA-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy","S","2022-06-13","2022-06-15","Jatake 4: JTK 4 - Olah","VCI#MO/220001097","Confirmed","A"
"__export__.mfg_snfg_line_2362_df740c63","L-MLCA-OMG/H0023","MO-L-MLCA-BULK/H0023","[L-MLCA-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy","S","2022-06-13","2022-06-16","Jatake 4: JTK 4 - Olah","VCI#MO/220001098","Confirmed","A"
"__export__.mfg_snfg_line_2364_7b1bcca7","L-MLCI-OMG/H0044","MO-L-MLCI-BULK/H0046","[L-MLCI-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm","S","2022-06-10","2022-06-14","Jatake 4: JTK 4 - Olah","VCI#MO/220001099","Confirmed","A"
"__export__.mfg_snfg_line_2366_79ff7ab9","L-MLCI-OMG/H0045","MO-L-MLCI-BULK/H0047","[L-MLCI-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm","S","2022-06-10","2022-06-14","Jatake 4: JTK 4 - Olah","VCI#MO/220001100","Confirmed","A"
"__export__.mfg_snfg_line_2370_613e42af","L-MLCD-OMG/H0023","MO-L-MLCD-BULK/H0024","[L-MLCD-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset","S","2022-06-13","2022-06-15","Jatake 4: JTK 4 - Olah","VCI#MO/220001101","Confirmed","A"
"__export__.mfg_snfg_line_2372_82ce1aaf","L-MLCD-OMG/H0024","MO-L-MLCD-BULK/H0025","[L-MLCD-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset","S","2022-06-14","2022-06-16","Jatake 4: JTK 4 - Olah","VCI#MO/220001102","Confirmed","A"
"__export__.mfg_snfg_line_2375_3c61d951","L-MLCF-OMG/H0044","MO-L-MLCF-BULK/H0044","[L-MLCF-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle","S","2022-06-15","2022-06-20","Jatake 4: JTK 4 - Olah","VCI#MO/220001103","Confirmed","A"
"__export__.mfg_snfg_line_2377_b028266f","L-MLCG-OMG/H0042","MO-L-MLCG-BULK/H0044","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","S","2022-06-13","2022-06-16","Jatake 4: JTK 4 - Olah","VCI#MO/220001104","Confirmed","A"
"__export__.mfg_snfg_line_2379_ff23a314","L-MLCG-OMG/H0043","MO-L-MLCG-BULK/H0045","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","S","2022-06-15","2022-06-17","Jatake 4: JTK 4 - Olah","VCI#MO/220001105","Confirmed","A"
"__export__.mfg_snfg_line_2381_c180a50d","L-MLCH-OMG/H0021","MO-L-MLCH-BULK/H0023","[L-MLCH-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall","S","2022-06-14","2022-06-17","Jatake 4: JTK 4 - Olah","VCI#MO/220001107","Confirmed","A"
"__export__.mfg_snfg_line_2382_6501cfc7","L-MLCH-OMG/H0022","L-MLCH-OMG/H0022","[80008] OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g","S","2022-06-20","2022-06-20","Jatake 4: JTK 4 - Kemas","VCI#MO/220001132","Confirmed","A"
"__export__.mfg_snfg_line_2383_c7127c99","L-MLCH-OMG/H0022","MO-L-MLCH-BULK/H0024","[L-MLCH-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall","S","2022-06-16","2022-06-20","Jatake 4: JTK 4 - Olah","VCI#MO/220001106","Confirmed","A"
