DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC AMBON,MAKE OVER,FACE MOISTURIZER,MAKE OVER POWERSKIN TINTED MOISTURIZER,01970,M-PSRT40-MO,8993137702966,MAKE OVER POWERSKIN RADIANT TINTED MOISTURIZER 40 MEDIUM BEIGE 40 ML,121621.63,10,0,10,1216216.3,0,1216216.3,
DC AMBON,MAKE OVER,FACE MOISTURIZER,MAKE OVER POWERSKIN TINTED MOISTURIZER,01969,M-PSRT30-MO,8993137702959,MAKE OVER POWERSKIN RADIANT TINTED MOISTURIZER 30 BEIGE 40 ML,121621.63,10,0,10,1216216.3,0,1216216.3,
DC AMBON,MAKE OVER,LIP MAKE UP,MAKE OVER LIP CRAYON GLOSSY,01978,L-CSGC101-MO,8993137702577,MAKE OVER COLOR STICK GLOSS CRAYON 101 VERONICA 3 G,87387.39,2,0,2,174774.78,0,174774.78,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER BLUSH ON MARBLE,00674,BO-CM-MO20G,8993137684217,MAKE OVER CHEEK MARBLES 20 G (PC(S)),170270.28,1,0,1,170270.28,0,170270.28,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY CREAMY FOUNDATION,02191,F-PTCMCN50-MO,8993137705011,MAKE OVER POWERSTAY TOTAL COVER MATTE CREAM FOUNDATION N50 TAN 12 G,121621.63,9,0,9,1094594.67,0,1094594.67,
DC AMBON,MAKE OVER,LIP MAKE UP,MAKE OVER LIQUID LIP COLOR,00906,L-LRB-MO5ML,8993137693400,MAKE OVER LIQUID LIP COLOR RED BABYDOLL 5 ML (PC(S)),69369.37,4,0,4,277477.48,0,277477.48,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER TWC REFILL,00901,TC-RPC08-MO12G,8993137688246,MAKE OVER PERFECT COVER REFILL TWC 08 HONEY 12 G (PC(S)),90991.0,4,0,4,363964,0,363964,
DC AMBON,MAKE OVER,EYE MAKE UP,MAKE OVER EYE SHADOW TRIVIA,00627,ES-TN-MO6G,8993137682565,MAKE OVER TRIVIA EYE SHADOW NATURAL NUDE 6 G (PC(S)),78378.38,8,0,8,627027.04,0,627027.04,
DC AMBON,MAKE OVER,FACE CLEANSER,MAKE OVER MICELLAR WATER,01463,REM-MW-MO185ML,8993137699013,MAKE OVER MICELLAR WATER 185 ML,78378.38,3,0,3,235135.14,0,235135.14,
DC AMBON,MAKE OVER,FACE MAKE UP,MAKE OVER TWC,00886,TC-PC01-MO12G,8993137681629,MAKE OVER PERFECT COVER TWC 01 LACE 12 G (PC(S)),137837.84,4,0,4,551351.36,0,551351.36,
