Code,Product,Quantity on Hand,Reserved,Available
00114,Wardah Refill Lightening Two Way Cake Light Feel 02 Golden Beige 12 gr,155.0,0.0,155.0
00115,Wardah Refill Lightening Two Way Cake Light Feel 03 Sheer Pink 12 gr,152.0,0.0,152.0
00116,Wardah Refill Lightening Two Way Cake Light Feel 04 Natural 12 gr,20.0,0.0,20.0
00117,Wardah Blush On A 4 gr,181.0,0.0,181.0
00118,Wardah Blush On B 4 gr,77.0,0.0,77.0
00119,Wardah Blush On C 4 gr,54.0,0.0,54.0
00120,Wardah Blush On D 4 gr,216.0,0.0,216.0
00121,Wardah Evd Lum Compact Powder 01 Light Beige 14 g (Pc(s)),41.0,0.0,41.0
00122,Wardah Evd Lum Compact Powder 02 Beige 14 g (Pc(s)),29.0,0.0,29.0
00123,Wardah Evd Lum Compact Powder 03 Ivory 14 g (Pc(s)),40.0,0.0,40.0
00124,Wardah Evd Lum Compact Powder 04 Natural 14 g (Pc(s)),48.0,0.0,48.0
00125,"Wardah Double Function Kit 4,5 gr",20.0,0.0,20.0
00126,Wardah Everyday BB Cream Light 15 ml (pc(s)),11.0,0.0,11.0
00127,Wardah Everyday BB Cream Light 30 ml (Pc(s)),69.0,0.0,69.0
00128,Wardah Everyday BB Cream Natural 15 ml (Pc(s)),55.0,0.0,55.0
00129,Wardah Everyday BB Cream Natural 30 ml (Pc(s)),19.0,0.0,19.0
00130,"Wardah Evd Lum Creamy Foundation Extra Cover 01 Sheer Pink 8,5 g (Pc(s))",91.0,0.0,91.0
00131,"Wardah Evd Lum Creamy Foundation Extra Cover 02 Light Beige 8,5 g (Pc(s))",53.0,0.0,53.0
00132,"Wardah Evd Lum Creamy Foundation Extra Cover 03 Beige 8,5 g (Pc(s))",51.0,0.0,51.0
00133,"Wardah Evd Lum Creamy Foundation Extra Cover 04 Natural 8,5 g (Pc(s))",58.0,0.0,58.0
00134,Wardah Evd Lum Creamy Foundation Light Feel 01 Sheer Pink 11 g (Pc(s)),52.0,0.0,52.0
00135,Wardah Evd Lum Creamy Foundation Light Feel 02 Light Beige 11 g (Pc(s)),13.0,0.0,13.0
00136,Wardah Evd Lum Creamy Foundation Light Feel 03 Beige 11 g (Pc(s)),31.0,0.0,31.0
00137,Wardah Evd Lum Creamy Foundation Light Feel 04 Natural 11 g (Pc(s)),40.0,0.0,40.0
00138,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),30.304,0.0,30.304
00139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),26.0,0.0,26.0
00140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),19.0,0.0,19.0
00141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),20.0,0.0,20.0
00142,Wardah Evd Lum Liquid Foundation 02 Light Beige 40 ml (Pc(s)),9.0,0.0,9.0
00143,Wardah Evd Lum Liquid Foundation 03 Beige 40 ml (Pc(s)),9.0,0.0,9.0
00144,Wardah Evd Lum Liquid Foundation 01 Natural White 40 ml (Pc(s)),43.942,0.0,43.942
00145,Wardah Evd Lum Liquid Foundation 04 Natural 40 ml (Pc(s)),16.0,0.0,16.0
00146,Wardah Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),62.0,0.0,62.0
00147,Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),41.0,0.0,41.0
00148,Wardah Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),81.0,0.0,81.0
00149,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),116.0,0.0,116.0
00150,"Eye Shadow A, 4.2 gr",6.0,0.0,6.0
00151,"Eye Shadow B, 4.2 gr",3.0,0.0,3.0
00152,"Eye Shadow C, 4.2 gr",10.0,0.0,10.0
00153,"Eye Shadow D, 4.2 gr",1.0,0.0,1.0
00154,"Eye Shadow E, 4.2 gr",10.0,0.0,10.0
00155,"Eye Shadow F, 4.2 gr",2.0,0.0,2.0
00157,"Eye Shadow H, 4.2 gr",6.0,0.0,6.0
00158,"Eye Shadow I, 4.2 gr",3.0,0.0,3.0
00159,"Eye Shadow J, 4.2 gr",3.0,0.0,3.0
00160,"Eye Shadow K, 4.2 gr",16.0,0.0,16.0
00161,"Eye Shadow L, 4.2 gr",5.0,0.0,5.0
00162,"Eye Shadow M, 4.2 gr",3.0,0.0,3.0
00163,"Eye Shadow N, 4.2 gr",2.0,0.0,2.0
00164,"Wardah Hydrogloss 01 Invisible Pink 3,8 gr",84.0,0.0,84.0
00165,"Wardah Hydrogloss 02 Autumn Peach 3,8 gr",100.0,0.0,100.0
00166,"Wardah Hydrogloss 03 Sheer Brown 3,8 gr",199.0,0.0,199.0
00167,"Wardah Hydrogloss 04 Glazing Plum 3,8 gr",99.0,0.0,99.0
00168,Wardah Lipgloss 3.8 gr,133.0,0.0,133.0
00169,"Wardah Lipbalm Orange 6,5 gr (Pc(s))",5.0,0.0,5.0
00170,"Wardah Lipbalm Strawberry 6,5 gr (Pc(s))",5.0,0.0,5.0
00171,"Wardah Lipbalm Vanilla 6,5 gr (Pc(s))",8.0,0.0,8.0
00172,Wardah Lip Palette Chocoaholic 10 g (Pc(s)),86.0,0.0,86.0
00173,Wardah Lip Palette Perfect Red 10 g (pc(s)),33.0,0.0,33.0
00174,Wardah Lip Palette Pinky Peach 10 g (pc(s)),17.0,0.0,17.0
00175,Wardah Longlasting Lipstick 01 Fabulous Peach 2.3 g (Pc(s)),43.0,0.0,43.0
00176,Wardah Longlasting Lipstick 02 Pink Sorbet 2.3 g (Pc(s)),58.0,0.0,58.0
00177,Wardah Longlasting Lipstick 03 Simply Brown 2.3 g (Pc(s)),29.0,0.0,29.0
00178,Wardah Longlasting Lipstick 04 Antique Pink 2.3 g (Pc(s)),31.0,0.0,31.0
00179,Wardah Longlasting Lipstick 05 Fuchsia Fever 2.3 g (Pc(s)),50.0,0.0,50.0
00180,Wardah Longlasting Lipstick 06 Delicate Pink 2.3 g (Pc(s)),33.0,0.0,33.0
00181,Wardah Longlasting Lipstick 07 Raspberry Hip 2.3 g (Pc(s)),54.0,0.0,54.0
00182,Wardah Longlasting Lipstick 08 Red Velvet 2.3 g (Pc(s)),24.0,0.0,24.0
00183,Wardah Longlasting Lipstick 09 Vibrant Red 2.3 g (Pc(s)),24.0,0.0,24.0
00184,Wardah Longlasting Lipstick 10 Stylish Mocca 2.3 g (Pc(s)),35.0,0.0,35.0
00185,Wardah Longlasting Lipstick 11 Cherrie Glam 2.3 g (Pc(s)),30.0,0.0,30.0
00186,Wardah Longlasting Lipstick 12 Lustrous Red 2.3 g (Pc(s)),33.0,0.0,33.0
00187,Wardah Makeup Remover 100 ml (Pc(s)),74.0,0.0,74.0
00188,"Matte Lipstick 01, 3.8 gr",64.0,0.0,64.0
00189,"New Lipstick Matte 02 Wardah 3,8 g",38.0,0.0,38.0
00190,"New Lipstick Matte 03 Wardah 3,8 g",36.0,0.0,36.0
00191,"New Lipstick Matte 04 Wardah 3,8 g",30.0,0.0,30.0
00192,"New Lipstick Matte 05 Wardah 3,8 g",25.0,0.0,25.0
00193,"Matte Lipstick 06, 3.8 gr",60.0,0.0,60.0
00194,"Matte Lipstick 07, 3.8 gr",102.0,0.0,102.0
00195,"Matte Lipstick 08, 3.8 gr",155.0,0.0,155.0
00196,"Wardah Matte Lipstick 09 True Red 3,8 gr (Pc(s))",30.0,0.0,30.0
00197,"Matte Lipstick 10, 3.8 gr",63.0,0.0,63.0
00198,"Matte Lipstick 11, 3.8 gr",45.0,0.0,45.0
00199,"Matte Lipstick 12, 3.8 gr",19.0,0.0,19.0
00200,"Matte Lipstick 13, 3.8 gr",45.0,0.0,45.0
00201,"Matte Lipstick 14, 3.8 gr",64.0,0.0,64.0
00202,"Matte Lipstick 15, 3.8 gr",233.0,0.0,233.0
00203,"Wardah Matte Lipstick 16 Summer Pink 3,8 gr (Pc(s))",41.0,0.0,41.0
00204,"Wardah Matte Lipstick 17 Gorgeous Pink 3,8 gr (Pc(s))",55.0,0.0,55.0
00205,"Wardah Matte Lipstick 18 Rosy Pink 3,8 gr (Pc(s))",22.0,0.0,22.0
00206,"Matte Lipstick 19, 3.8 gr",160.0,0.0,160.0
00207,"Matte Lipstick 20, 3.8 gr",174.0,0.0,174.0
00208,Wardah Professional Make Up Kit (Pc(s)),8.0,0.0,8.0
00209,Wardah Refill Evd Lum Compact Powder 01 Light Beige 14 g (Pc(s)),49.0,0.0,49.0
00210,Wardah Refill Evd Lum Compact Powder 02 Beige 14 g (Pc(s)),10.0,0.0,10.0
00211,Wardah Refill Evd Lum Compact Powder 03 Ivory 14 g (Pc(s)),17.0,0.0,17.0
00212,Wardah Refill Evd Lum Compact Powder 04 Natural 14 g (Pc(s)),57.0,0.0,57.0
00213,Wardah Refill Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),12.0,0.0,12.0
00214,Wardah Refill Evd Lum Face Powder 02 Beige 30 g (Pc(s)),10.0,0.0,10.0
00215,Wardah Refill Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),46.0,0.0,46.0
00216,Wardah Refill Evd Lum Face Powder 04 Natural 30 g (Pc(s)),41.0,0.0,41.0
00217,Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),66.0,0.0,66.0
00218,Wardah Refill Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),74.144,0.0,74.144
00219,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),61.0,0.0,61.0
00220,Wardah Refill Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),20.0,0.0,20.0
00221,Wardah Make Up Kit Special Edition (Pc(s)),10.0,0.0,10.0
00222,Wardah Puff NBR,3.0,0.0,3.0
00223,"Wardah Wondershine 01 Cinnamon Red 4,5 ml",28.0,0.0,28.0
00224,"Wardah Wondershine 02 Creamy Brown 4,5 ml",93.0,0.0,93.0
00225,"Wardah Wondershine 03 Soft Pink 4,5 ml",4.0,0.0,4.0
00226,"Wardah Wondershine 04 Pale Pink 4,5 ml",51.0,0.0,51.0
00227,"Wondershine 05 Clear Ice, 4.5 ml",30.0,0.0,30.0
00228,Wardah Essential Facial Mask 60 ml (Pc(s)),233.0,0.0,233.0
