"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"41","(not set)","L-CUM06-W/BSH0001","L-CUM06-W/BSH0001","KEMAS_2","FILLING-PACKING_INLINE","2","2022-04-20 10:13:00+07","2022-04-18","2022-04-21","Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g","Next Process","(not set)","L-CUM06-W","(not set)",""
"42","(not set)","MY-RLCVM04-W/H0008","MY-RLCVM04-W/H0008","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-19","Malaysia Wardah Colorfit Velvet Matte Lip Mousse 04 Pink Sweetheart 4 g","Next Process","Done","MY-RLCVM04-W","(not set)",""
"43","(not set)","MY-LNLCB-EM/H0002","MY-LNLCB-EM/H0002","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-20","Malaysia Emina Poppin’ Matte 02 To Be Honest","Next Process","Done","MY-LNLCB-EM","(not set)",""
"44","(not set)","MY-BRBMLP02-EM/H0005","MY-BRBMLP02-EM/H0005","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-20","Malaysia Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g","Next Process","Done","MY-BRBMLP02-EM","(not set)",""
"45","(not set)","MY-LNLCA-EM/H0002","MY-LNLCA-EM/H0002","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-19","Malaysia Emina Poppin’ Matte 04 Snatched","Next Process","Done","MY-LNLCA-EM","(not set)",""
"46","(not set)","MY-BOCLPPCCC-EM/H0002","MY-BOCLPPCCC-EM/H0002","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-20","Malaysia Emina Cheek Lit Pressed Blush Cotton Candy 3.5 gr (Pc(s))","Next Process","Done","MY-BOCLPPCCC-EM","(not set)",""
"47","(not set)","MY-RCUSEFC02-W/H0007","MY-RCUSEFC02-W/H0007","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-20","Malaysia Wardah Exclusive Flawless Cover Cushion 02 Honey Beige 15 g","Next Process","Done","MY-RCUSEFC02-W","(not set)",""
"48","(not set)","MY-RCUSEFC03-W/H0008","MY-RCUSEFC03-W/H0008","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-19","Malaysia Wardah Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g","Next Process","Done","MY-RCUSEFC03-W","(not set)",""
"49","(not set)","MY-RTCIPMFPF14-W/H0003","MY-RTCIPMFPF14-W/H0003","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-19","Malaysia Wardah Instaperfect MATTE FIT Powder Foundation 14 CRÉME13 g","Next Process","Done","MY-RTCIPMFPF14-W","(not set)",""
"50","(not set)","MY-LCM07-EM/H0002","MY-LCM07-EM/H0002","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-19","Malaysia Emina Creamatte 07 Tumbleweed 5.5 gr (Pc(s))","Next Process","Done","MY-LCM07-EM","(not set)",""
"51","(not set)","MY-CONLBBL01-W/H0010","MY-CONLBBL01-W/H0010","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-20","Malaysia Wardah Lightening Liquid Concealer 01 Light 7 g (Blister)","Next Process","Done","MY-CONLBBL01-W","(not set)",""
"52","(not set)","MY-RFWAH-W/H0008","MY-RFWAH-W/H0008","NDC","JADWAL BARU","1","2022-04-20 10:11:40+07","2022-04-19","2022-04-19","Malaysia Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml","Next Process","Done","MY-RFWAH-W","(not set)",""
"53","MO-TC-R3LLF02-BULK/H0059","TC-RR3LLF02-W/H0024","TC-RR3LLF02-W/H0024","PENIMBANGAN","JADWAL BARU","1","2022-04-20 10:11:00+07","2022-04-20","2022-04-25","Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","Next Process","(not set)","TC-RR3LLF02-W","(not set)",""
"54","(not set)","MY-LTCR03-EM/H0002","MY-LTCR03-EM/H0002","QC FG","JADWAL BARU","1","2022-04-20 10:10:20+07","2022-04-20","2022-04-21","Malaysia Emina Creamytint 03 Sunbeam 3.6 g","Next Process","Done","MY-LTCR03-EM","(not set)",""
"55","MO-B-W1T3LFP01-BULK/H0022","B-W3ELFP01-W30G/H0022","B-W3ELFP01-W30G/H0022","PENIMBANGAN","JADWAL BARU","1","2022-04-20 10:06:00+07","2022-04-19","2022-04-22","Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s))","Processing","(not set)","B-W3ELFP01-W30G","(not set)",""
"56","(not set)","MY-LCM08-EM/H0002","MY-LCM08-EM/H0002","KEMAS_2","PACKING","1","2022-04-20 10:03:00+07","2022-04-20","2022-04-20","Malaysia Emina Creamatte 08 Pumpkin Spice 5.5 gr","Next Process","(not set)","MY-LCM08-EM","(not set)",""
"57","MO-WARN-TI---COATED PST/LH0004","WARN-TI---COATED PST/LH0004","WARN-TI---COATED PST/LH0004","PENGOLAHAN","OLAH 1","1","2022-04-20 10:02:00+07","2022-04-18","2022-04-19","Warna Titan Coated pst (kg)","Next Process","(not set)","WARN-TI---COATED PST","DI20A",""
"58","(not set)","L-RCLCLS5-W/H0001","L-RCLCLS5-W/H0001","KEMAS_2","PACKING","2","2022-04-20 10:01:00+07","2022-04-20","2022-04-21","Wardah Colorfit Fresh Lip Ink Serum 05 Soul Mover 4 g","Next Process","(not set)","L-RCLCLS5-W","(not set)",""
